,Semana,Agencia_ID,Canal_ID,Ruta_SAK,Cliente_ID,Producto_ID,Venta_uni_hoy,Venta_hoy,Dev_uni_proxima,Dev_proxima,Demanda_uni_equil
15540764,4,1441,1,5533,7701781,45111,4,35.92,0,0.0,4
41271897,6,2229,1,1101,312220,3270,7,73.29,0,0.0,7
49553689,7,1945,1,8013,877789,2425,15,67.5,0,0.0,15
39496965,6,2012,1,1159,7878703,1309,3,20.28,0,0.0,3
30326590,5,2054,1,1125,283175,47840,10,80.0,0,0.0,10
22851170,5,1123,1,1459,2390508,1284,3,9.06,0,0.0,3
71496923,9,2032,1,2859,1289871,35305,8,50.0,0,0.0,8
40283453,6,2034,1,1052,611918,1160,1,18.86,0,0.0,1
45921656,7,1335,1,1052,187013,1160,2,37.72,1,18.86,1
39979151,6,2020,1,1002,254537,1109,2,30.02,0,0.0,2
23972832,5,1222,1,2159,1366885,32940,2,15.56,0,0.0,2
57062369,8,1375,1,2001,2219315,37058,8,60.0,0,0.0,8
58995546,8,1628,1,4501,358948,43207,5,15.1,0,0.0,5
4681286,3,1461,1,2804,147047,35711,3,20.76,0,0.0,3
5536549,3,1611,1,1253,4100966,6469,1,14.26,0,0.0,1
67720597,9,1420,1,1119,1127043,43204,9,68.76,0,0.0,9
54446280,8,1138,1,1429,586992,1212,2,16.76,0,0.0,2
46650365,7,1381,4,6604,2160798,40447,88,950.4,0,0.0,88
72393015,9,2216,1,1250,4606257,1212,2,16.76,0,0.0,2
44326358,7,1212,1,2101,176763,31507,5,31.25,0,0.0,5
19522060,4,2038,1,1019,623802,34050,4,32.0,0,0.0,4
6462814,3,1636,1,4409,289787,43084,2,16.3,0,0.0,2
11902137,4,1123,1,1463,645455,1240,5,41.9,0,0.0,5
26790500,5,1472,4,4915,1964166,43210,5,36.0,0,0.0,5
9090882,3,2213,1,1210,1708657,2233,6,119.64,0,0.0,6
30154202,5,2037,1,1214,4550908,1242,3,22.92,0,0.0,3
71822185,9,2054,1,2011,665609,43069,2,14.82,0,0.0,2
20724918,4,2261,4,6611,4556299,6469,18,237.6,0,0.0,18
40094754,6,2029,1,1123,4505743,1284,6,18.12,10,30.2,0
8474360,3,2036,1,1018,262114,46772,4,35.68,0,0.0,4
62795341,8,3214,1,1613,4185928,31719,2,15.18,0,0.0,2
50391429,7,2021,1,1204,717176,3631,1,16.35,0,0.0,1
39889083,6,2018,1,1106,2064638,1242,1,7.64,0,0.0,1
65220406,9,1213,1,2193,1774556,35305,4,25.0,0,0.0,4
